parameter_ucb,parameter,method,duration,unit,instrument
CO2MFd,co2,licor-co2-h2o,1,ppm,Licor_7200_CO2
H2OMFd,h2o,licor-co2-h2o,1,ppm,Licor_7200_CO2
O3,o3,2b-o3,2,ppb,2BTech_211_G
NO2,no2,caps-no2,1,ppb,CAPS_NO2
NO2,no2,ecophysics-nox,1,ppb,EcoPhysics_NOX
NO,no,ecophysics-nox,1,ppb,EcoPhysics_NOX
NOx,nox,ecophysics-nox,1,ppb,EcoPhysics_NOX
CH4,ch4,aeris-ch4-c2h6,1,ppb,Aeris_CH4_C2H6
C2H6,c2h6,aeris-ch4-c2h6,1,ppb,Aeris_CH4_C2H6
H2O,h2o,aeris-ch4-c2h6,1,ppm,Aeris_CH4_C2H6
CO,co,aeris-co-n2o,1,ppb,Aeris_N2O_CO
N2O,n2o,aeris-co-n2o,1,ppb,Aeris_N2O_CO
H2O,h2o,aeris-co-n2o,1,ppm,Aeris_N2O_CO
PM2.5,pm2.5,fidas-pm,30,ug_per_m3,Palas_Fidas_PM
PM1,pm1.0,fidas-pm,30,ug_per_m3,Palas_Fidas_PM
BC6,blackcarbon,ae33-bc,1,ug_per_m3,MAGEE_AE33_Aethalometer
C6H7,c6h7,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C7H9,c7h9,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C8H11,c8h11,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C3H5O,c3h5o,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
CH5S,ch5s,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C2H7S,c2h7s,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C10H9,c10h9,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C3H7O,c3h7o,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C4H9O,c4h9o,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C2H7O,c2h7o,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C5H11O,c5h11o,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
C4H7O,c4h7o,Vocus-PTR-ToF,1,ppb,Vocus-PTR-ToF
Wind_Speed,windspeed,anem-ws,1,meters_per_second,Airmar_WX200
Wind_Angle,winddir,anem-wd,1,degrees_compass,Airmar_WX200
amb_P,pressure,anem-press,1,mbar,Airmar_WX200
amb_T,temperature,anem-temp,1,deg_c,Airmar_WX200
