instrument,parameter,range_start,range_end,condition,flag_value
CAPS_NO2,Status,0,11000,Warning,2
CAPS_NO2,Loss,0,1000,Alarm,4
CAPS_NO2,Pressure,700,800,Alarm,8
Aeris_N2O_CO,P,135,145,Alarm,2
Aeris_N2O_CO,CO,0,100000,Alarm,4
Aeris_N2O_CO,N2O,0,100000,Alarm,8
Aeris_N2O_CO,T2,5,35,Alarm,16
Aeris_N2O_CO,Wall_Code,NA,NA,NA,32
Aeris_N2O_CO,Inlet_Number,0,0,Warning,64
Aeris_CH4_C2H6,P,235,245,Alarm,2
Aeris_CH4_C2H6,CH4,1.8,100000,Alarm,4
Aeris_CH4_C2H6,C2H6,0,100000,Alarm,8
Aeris_CH4_C2H6,T2,5,35,Alarm,16
Aeris_CH4_C2H6,Wall_Code,NA,NA,NA,32
Aeris_CH4_C2H6,Inlet_Number,0,0,Warning,64
Licor_7200_CO2,MeasFlowRate,8,12,Alarm,2
Licor_7200_CO2,AvgTemp,5,35,Alarm,4
DMS_PAX_BlackCarbon,BC_mass,-1,100000,Alarm,2
DMS_PAX_BlackCarbon,mode,0,0,Alarm,4
MAGEE_AE33_Aethalometer,BC6,-1000,1000000,Alarm,2
2BTech_211_G,O3,0,100000,Alarm,2
2BTech_211_G,cell_a_flow,950,1100,Alarm,4
2BTech_211_G,cell_b_flow,1000,1150,Alarm,8
EcoPhysics_NOX,NOx,-10,100000,Alarm,2
EcoPhysics_NOX,NO2,-100,100000,Alarm,4
EcoPhysics_NOX,NO,-10,100000,Alarm,8
Palas_Fidas_PM,flowrate,4.4,5.2,Alarm,2
Palas_Fidas_PM,velocity,6,10,Alarm,4
Palas_Fidas_PM,PMtot,0,100000,Alarm,8
Vocus-PTR-ToF,interlock,0,0,Alarm,2
Vocus-PTR-ToF,ion_source,417,430,Alarm,4
Vocus-PTR-ToF,tof_p,0,1.50E-06,Alarm,8
Vocus-PTR-ToF,imr_p,2.45,2.55,Alarm,16
Vocus-PTR-ToF,water_flow,14,16,Alarm,32
Vocus-PTR-ToF,turbo_speed,950,1100,Alarm,64
Vocus-PTR-ToF,tps_temp,5,55,Alarm,128
Vocus-PTR-ToF,zero_valve,0,0,cal,256
