index,species,description
1,VarName1,
2,H4N,
3,VarName3,
4,H3O,
5,H318O,
6,C2H3,
7,CH2N,
8,C2H4,
9,VarName9,
10,VarName10,
11,VarName11,
12,C2H5,ethanol fragm
13,VarName13,
14,CH4N,
15,CH3O,
16,O2,
17,HO2,
18,CH5O,methanol
19,H3S,
20,H5O2,water cluster
21,C3H2,
22,K,
23,C3H3,"aromatic, isoprene fragment"
24,C3H5,
25,C2H2O,
26,C2H4N,acetonitrile
27,C2H3O,
28,C3H7,propanol fragment + propene
29,CH2NO,
30,C2H6N,
31,VarName31,
32,C2H5O,acetaldehyde
33,NO2,
34,CH4NO,formamide
35,C2H8N,"ethylamine, dimethylamine"
36,CH3O2,formic acid
37,C2H7O,ethanol
38,VarName38,
39,VarName39,
40,HNO2H,HONO (nitrous acid)
41,HO3,
42,CH5S,methane thiol
43,CH5O2,
44,H2O3,
45,C4H2,alykl fragment
46,VarName46,maybe H3O3+
47,C4H3,alkyl fragment
48,CH7O2,methanol water cluster
49,ClH3N,chloramine
50,C4H4,aromatic fragment
51,C3HO,
52,C4H5,1-buten-3-yne
53,VarName53,
54,C3H4N,acrylonitrile
55,C3H3O,
56,H7O3,water cluster
57,C4H7,
58,C3H4O,
59,C3H6N,
60,CC3H7,alykl fragment isotope of mz 55
61,C3H5O,acrolein
62,C4H9,"butene, fragment of butanol etc"
63,VarName63,
64,C2H4NO,Hydroxyacetonitrile
65,C3H6O,acetone O2+ ionization?
66,C2H3O2,glyoxal
67,C3H7O,acetone + propanal
68,VarName68,
69,COS,carbonyl sulfide charge transfer (?)
70,C2H4O2,"acetic acid, oxygenated fragment"
71,C2H5NOH,acetamide
72,C2H5O2,acetic acid
73,C3H9O,propanol
74,VarName74,DMS charge transfer
75,CClO,
76,CH3O3,carbonic acid
77,C2H7S,"ethane thiol, DMS"
78,C2H7O2,"ethane diols, acetaldehyde water cluster, ethyl hydroperoxide"
79,S2,S2 (pesticide)
80,H2NO3,nitric acid
81,CH6NO2,formamide water cluster
82,VarName82,
83,C2H6Cl,
84,CH4O3H,formic acid water cluster
85,C5H5,alkyl fragment
86,C2H6OH2OH,ethanol water cluster
87,VarName87,
88,C4H4N,
89,C5H6,alkyl fragment
90,CHClF,
91,VarName91,
92,C5H7,"isoprene fragment, cyclopentadiene"
93,C4H4O,
94,C4H6N,
95,C3HO2,carbon suboxide
96,C4H5O,"C4H3((H2O)), C4H5O"
97,C5H9,isoprene
98,C4H8N,
99,C3H3O2,
100,C4H7O,methyl vinyl ketone
101,C5H11,pentanol fragment + pentene
102,C3H5NOH,acrylamide
103,C3H5O2,"methyl glyoxal, propenoic acid"
104,H9O4,
105,C4H9O,methyl ethyl ketone
106,C2H4NS,Methylisothiocyanate (metam sodium decomposition prod)
107,C2H4NO2,nitroethylene
108,C3H7NOH,Dimethylformamide
109,C3H7O2,"hydroxy acetone & aldehydes, propanoic acid, C3 esters"
110,C4H11O,butanol
111,CS2,
112,VarName112,
113,C2H6NO2,Nitroethane
114,C2ClH2O,
115,C2H5O3,
116,C3H8O2H,propane diol
117,C2H6O3,
118,C6H6,benzene charge transfer
119,C2H7O3,acetic acid water cluster
120,C6H7,benzene
121,VarName121,
122,C5H5NH,
123,VarName123,
124,C5H5O,cyclopentadienone
125,C6H9,monoterpene fragment
126,CCl2,
127,VarName127,
128,CHCl2,
129,VarName129,
130,C4H3O2,
131,C5H7O,
132,C6H11,cyclohexene
133,C5H10N,
134,CClF2,
135,C4H5O2,
136,C5H9O,
137,C6H13,
138,C4H8NO,
139,C5H12N,
140,C3H3O3,
141,C4H7O2,
142,C5H11O,MBO
143,C4H10NO,
144,C5H14N,
145,C3H5O3,
146,C4H9O2,
147,C2H4NO3,
148,C3H7O3,
149,C7H7,
150,H2O4H3O,
151,C4H10O2H,
152,C2H6NO3,
153,C7H8,toluene charge transf
154,C3H6ClO,
155,C3H9O3,
156,C7H9,toluene
157,C6H6O,
158,CH4Br,
159,C5H3O2,Furan ketone
160,C6H7O,
161,C7H10H,monoterpene fragment
162,CH3SO2NH2H,Methanesulfonamide
163,C2H3Cl2,
164,CH5SO3,methane sulfonic acid
165,C5H5O2,"furfural, cyclopentene dione"
166,C2H9O4,acetic acid + 2H2O
167,C6H9O,"hexadienal, dimethylfuran"
168,C7H13,
169,C5H6O2,
170,C4H3O3,"maleic anhydride, caproic acid fragment"
171,C5H7O2,furfuryl alcohol
172,C6H11O,"cyclohexanone, hexeneones"
173,C7H15,
174,VarName174,
175,C5H10NO,
176,CCl2F,
177,C4H5O3,succinic anhydride
178,C5H9O2,"methyl methacrylate, etc."
179,C6H13O,
180,VarName180,
181,VarName181,
182,C5H12NO,
183,C4H7O3,Isoprene ox
184,C5H11O2,"ethyl propionate, etc."
185,C3H5O4,
186,C4H9O3,
187,C8H9,"styrene, cyclooctotetraene"
188,C5H13O2,
189,C3H7O4,
190,C7H7O,benzaldehyde
191,C4H11O3,C4-acid water cluster
192,C8H11,xylene
193,C2H6NO4,
194,C2H6Br,
195,C6H5O2,benzoquinone
196,C7H9O,"cresols, anisole"
197,C8H13,6MHO fragment
198,VarName198,
199,C3H4Cl2H,Dichloropropene (pesticide)
200,C2H7O3S,
201,C6H7O2,Methylfurfural etc
202,C7H8F,
203,C7H11O,
204,C8H15,"MTox fragm, C8 diene"
205,CH6NO3PH,AMPA (glyphosate degr. prod.)
206,VarName206,
207,C5H5O3,
208,C6H9O2,
209,C7H13O,
210,C8H17,
211,C4H3O4,acetylene dicarboxylic acid
212,C5H7O3,"C5 tricarbonyl, 3DBE"
213,C6H11O2,"C6 dicarbonyl, caprolactone"
214,C7H15O,C7 ketones
215,CCl3,
216,C4H5O4,"maleic acid, fumaric acid"
217,C5H9O3,"C5 keto acids, 2DBE"
218,C6H13O2,hexanoic acid
219,C4H7O4,succinic acid
220,C9H11,"terpene frag, propenyl benzene, methyl styrene, indane"
221,C7H5O2,
222,C4H9O4,
223,C8H9O,acetophenone
224,C5H10O2H2OH,Valeric acid watercluster
225,C9H13,trimethyl benzene
226,C7H6O2,benzoic acid charge transfer?
227,C7H7NOH,Benzamide
228,C3H7O5,
229,C7H7O2,"benzoic acid, hydroxybenzaldehyde"
230,C8H11O,
231,C9H15,SQT fragment
232,C6H6NO2,Nitrobenzene
233,C6H5O3,Hydroxy benzoquinone etc
234,C7H9O2,Guaiacol etc
235,C8H13O,
236,C9H17,
237,C6H7O3,
